Date,Open,High,Low,Close,Adj Close,Volume
2004-09-02 00,50.12,50.7,49.43,50.6,50.6,6844948.0
2004-09-03 00,50.41,51.03,49.69,50.87,50.87,7563230.0
2004-09-06 00,51.91,52.49,51.44,51.44,51.44,7590801.0
2004-09-07 00,51.17,51.93,50.83,51.16,51.16,5478516.0
2004-09-08 00,51.07,51.28,49.95,50.08,50.08,6808985.0
2004-09-09 00,50.31,52.09,50.27,51.34,51.34,7056136.0
2004-09-10 00,51.01,51.09,49.95,50.04,50.04,6527266.0
2004-09-13 00,50.43,50.57,49.58,50.08,50.08,6738653.0
2004-09-14 00,50.35,50.82,49.38,49.46,49.46,7322869.0
2004-09-15 00,49.42,49.96,48.38,48.39,48.39,11956033.0
2004-09-16 00,48.55,49.53,48.39,49.2,49.2,9452937.0
2004-09-17 00,49.32,49.87,48.84,49.42,49.42,7947046.0
2004-09-20 00,49.45,49.45,47.75,48.54,48.54,8834157.0
2004-09-20 00,48.24,48.62,46.79,47.38,47.38,10401186.0
2004-09-21 00,47.27,48.08,46.87,47.8,47.8,8817973.0
2004-09-22 00,47.39,48.87,47.39,48.64,48.64,6478313.0
2004-09-24 00,48.79,49.11,46.74,47.45,47.45,10421768.0
2004-09-27 00,47.08,48.9,46.95,48.71,48.71,7543049.0
2004-09-28 00,48.64,49.23,47.98,48.08,48.08,8054937.0
2004-09-29 00,48.33,48.48,46.83,47.25,47.25,8631761.0
2004-09-30 00,47.05,47.27,46.45,46.85,46.85,7756634.0
2004-09-30 00,46.74,47.08,46.43,46.65,46.65,5480114.0
2004-10-01 00,46.55,46.95,46.48,46.8,46.8,4643151.0
2004-10-02 00,46.75,47.13,46.28,46.73,46.73,5886108.0
2004-10-03 00,47.03,47.32,46.65,46.87,46.87,5801193.0
2004-10-04 00,47.14,47.68,46.58,47.55,47.55,6632160.0
2004-10-07 00,47.79,48.7,47.41,48.43,48.43,6731062.0
2004-10-08 00,48.69,48.74,47.36,47.77,47.77,6870921.0
