Open,High,Low,Close,Adj Close,Volume
349.5,358.61,344.66,356.8,345.0,4815064.5
453.1,447.27,434.17,453.48,441.44,2435241.0
600.1,572.94,560.52,600.06,584.03,2111611.2
724.21,694.32,684.9,716.83,701.96,1872913.9
784.88,765.7,757.26,776.37,766.0,1782242.8
765.35,760.63,751.67,759.71,752.52,1867896.8
670.62,683.11,676.72,668.15,665.89,2218389.5
563.01,584.8,585.6,560.31,566.35,2893014.0
497.48,518.38,521.83,493.82,505.99,3534308.8
497.6,510.56,507.74,494.22,505.67,3432348.8
559.07,559.85,548.67,555.31,561.27,2783607.2
626.33,621.73,606.7,623.37,623.77,2357351.2
647.09,646.7,632.56,646.09,644.06,2280223.5
619.05,626.14,615.39,619.22,618.45,2453050.8
526.39,546.59,541.88,528.28,533.19,3154713.5
387.12,417.77,424.82,388.09,404.81,5469422.5
264.9,295.65,308.01,262.75,290.61,11476209.0
193.49,220.96,224.58,189.76,220.02,19547056.0
165.33,188.24,182.45,161.02,187.52,22662118.0
165.85,183.05,172.96,161.75,182.16,18966014.0
196.6,206.32,195.72,192.3,204.37,11624438.0
271.55,270.48,260.45,264.78,265.78,5976048.5
402.63,388.26,376.17,393.83,381.83,3279830.8
551.25,531.28,517.96,544.22,523.42,2317871.2
666.03,646.96,636.5,658.44,638.87,2000829.2
696.55,686.41,677.56,689.73,675.85,2004870.8
649.15,652.05,645.36,644.66,637.19,2258883.8
602.88,609.99,606.89,598.05,597.04,2555202.5
619.09,619.12,614.45,612.24,613.92,2476339.2
691.12,681.66,671.9,682.83,683.18,2131516.2
302.74,314.13,301.26,309.66,303.56,5894721.5
304.66,310.83,306.17,305.35,304.53,4400298.0
255.99,258.96,263.86,253.61,262.23,8377253.0
192.37,199.1,205.41,186.75,202.34,17151912.0
165.35,173.46,171.75,160.4,175.45,20679972.0
164.12,169.87,163.33,159.78,170.97,17991486.0
169.47,172.66,165.76,164.53,172.64,15613353.0
175.97,177.49,171.59,170.78,176.13,14020541.0
181.37,182.27,177.37,176.35,179.49,13035502.0
194.88,194.33,189.98,190.34,190.2,11004279.0
210.99,209.67,205.83,207.03,203.98,9386190.0
228.64,226.82,223.41,225.57,219.88,8188571.0
234.46,234.26,231.49,232.6,226.63,8158294.0
226.92,228.7,226.82,225.7,221.8,9138088.0
223.96,225.7,223.37,222.94,220.17,9487548.0
238.06,237.77,233.75,237.32,232.88,8240318.5
256.7,255.34,250.26,256.39,249.99,7157170.0
251.15,252.6,248.82,251.75,246.88,7830363.0
215.09,220.42,219.49,214.75,216.43,11423956.0
174.16,181.22,179.92,171.47,179.8,18191564.0
149.15,156.11,150.91,145.27,155.65,23757672.0
140.42,145.85,137.5,136.33,145.46,24404022.0
147.34,149.57,140.48,143.39,149.15,19626558.0
184.79,180.06,172.56,180.1,178.27,10832488.0
274.69,258.32,252.39,265.79,252.27,5065107.5
441.5,410.92,402.25,428.51,401.07,2673028.5
664.73,627.59,619.29,649.24,617.69,1838536.8
820.08,791.54,785.54,805.32,783.32,1640159.9
830.35,818.49,810.98,821.33,806.77,1692990.1
709.3,721.29,714.68,706.79,698.21,2035491.6
338.11,347.8,334.1,345.4,334.86,5036892.0
412.17,410.66,399.18,413.37,403.69,2754615.8
484.73,470.79,461.01,487.24,475.62,2756811.8
498.0,489.66,484.3,496.82,487.2,2989547.2
450.91,456.23,455.64,448.63,446.71,3676225.0
370.08,384.74,389.47,367.45,374.86,5363719.0
