Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
20.74,18.82,2.38,433.13,0.0,-0.0
20.78,18.81,14.37,429.08,0.0,-0.0
20.7,18.88,0.41,429.99,0.0,-0.0
20.84,18.84,7.87,435.14,0.0,0.0
20.79,19.0,2.78,432.08,0.0,0.0
20.8,18.99,5.75,431.07,0.0,0.0
20.87,18.95,7.69,437.81,0.0,0.0
20.76,18.97,2.74,433.17,0.0,-0.0
20.65,18.97,0.97,434.83,0.0,-0.0
20.68,18.84,6.43,434.21,0.0,-0.0
20.59,19.06,3.19,429.12,0.0,-0.0
20.6,18.93,14.77,431.12,0.0,-0.0
20.65,18.87,-0.85,433.21,0.0,-0.0
20.62,18.97,0.53,430.04,0.0,-0.0
20.78,18.89,5.7,431.4,0.0,-0.0
20.65,19.02,8.01,430.29,0.0,-0.0
20.65,18.97,1.74,432.86,0.0,-0.0
20.6,19.0,-0.15,428.04,0.0,0.0
20.67,19.07,-0.08,431.04,0.0,-0.0
20.54,19.01,4.83,432.56,0.0,-0.0
20.64,19.13,1.8,434.23,0.0,-0.0
20.59,19.1,10.65,433.22,0.0,-0.0
20.61,19.12,-0.94,431.29,0.0,-0.0
20.69,19.04,4.39,435.29,0.0,-0.0
20.62,19.14,-3.47,429.8,0.0,0.0
20.63,19.12,3.71,434.18,0.0,0.0
20.67,19.11,2.02,436.07,0.0,-0.0
20.6,19.13,0.09,433.45,0.0,-0.0
20.5,19.12,-2.28,433.16,0.0,-0.0
20.52,19.03,2.38,435.13,0.0,-0.0
20.51,19.14,0.71,426.82,0.0,-0.0
20.51,19.11,4.85,432.85,0.0,-0.0
20.51,19.1,-2.7,432.03,0.0,-0.0
20.48,19.13,-2.16,432.15,0.0,0.0
20.59,19.07,-0.11,432.71,0.0,-0.0
20.51,19.14,2.62,428.64,0.0,-0.0
20.51,19.09,-4.15,430.16,0.0,-0.0
20.45,19.12,-4.66,427.95,0.0,-0.0
20.51,19.1,-1.49,433.3,0.0,-0.0
20.46,19.12,-1.66,431.17,0.0,0.0
20.52,19.07,0.07,433.3,0.0,-0.0
20.48,19.06,3.24,432.07,0.0,-0.0
20.51,19.05,-1.76,429.3,0.0,-0.0
20.55,18.92,-0.84,431.65,0.0,-0.0
20.47,19.04,-2.92,428.01,0.0,-0.0
20.49,19.01,-1.9,431.48,0.0,-0.0
20.51,18.99,0.74,430.46,0.0,-0.0
20.5,19.05,-1.11,429.31,0.0,-0.0
20.43,19.01,-4.11,429.46,0.0,-0.0
20.44,18.94,-2.6,431.29,0.0,-0.0
20.45,19.06,-1.26,424.89,0.0,-0.0
20.42,18.99,1.48,430.04,0.0,-0.0
20.42,18.98,-3.77,428.92,0.0,-0.0
20.42,19.04,-3.81,429.81,0.0,0.0
20.46,18.94,-2.52,431.59,0.0,-0.0
20.42,19.02,-2.66,426.26,0.0,-0.0
20.43,19.01,-5.0,427.96,0.0,-0.0
20.42,18.98,-5.36,427.52,0.0,-0.0
20.42,18.91,-1.11,427.87,0.0,-0.0
20.43,18.98,-3.2,426.75,0.0,-0.0
20.44,18.96,-3.0,430.25,0.0,-0.0
20.42,18.9,0.14,427.46,0.0,-0.0
20.43,18.86,-3.56,427.4,0.0,-0.0
20.41,18.72,-3.2,427.31,0.0,-0.0
20.4,18.86,-3.75,426.55,0.0,-0.0
20.41,18.78,-3.74,428.84,0.0,-0.0
20.41,18.77,-1.88,427.46,0.0,-0.0
20.42,18.88,-2.6,426.63,0.0,-0.0
20.38,18.81,-5.38,426.42,0.0,-0.0
20.39,18.72,-5.31,427.64,0.0,-0.0
20.39,18.93,-0.99,424.22,0.0,-0.0
20.39,18.85,-3.49,426.47,0.0,0.0
20.38,18.83,-5.61,426.15,0.0,-0.0
20.38,18.87,-5.3,425.96,0.0,0.0
