Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
20.13,23.9,63.54,460.74,0.0,0.01
20.08,22.92,25.36,445.61,0.0,0.0
20.35,22.95,25.47,450.62,0.0,0.0
20.62,23.41,25.47,457.37,0.0,0.0
20.81,24.06,24.7,462.84,0.0,0.0
20.98,24.85,24.19,467.8,0.0,0.0
21.14,25.62,24.89,472.58,0.0,0.01
21.25,26.27,26.78,476.02,0.0,0.01
21.27,26.76,28.2,474.95,0.0,0.01
21.17,27.09,27.67,468.79,0.0,0.01
21.0,27.28,25.78,460.83,0.0,0.01
20.79,27.35,23.94,454.36,0.0,0.0
20.61,27.32,22.67,450.11,0.0,0.0
20.46,27.24,21.91,447.5,0.0,0.0
20.36,27.14,21.46,445.85,0.0,0.0
20.28,27.04,21.19,444.86,0.0,0.0
20.23,26.92,21.02,444.13,0.0,0.0
20.17,26.68,20.89,443.1,0.0,0.0
20.06,26.15,20.85,441.29,0.0,0.0
19.91,25.23,21.15,438.98,0.0,0.0
19.8,24.15,21.98,436.84,0.0,0.0
19.75,23.21,23.01,435.47,0.0,0.0
19.72,22.47,23.74,435.09,0.0,0.0
19.7,21.88,24.12,435.43,0.0,0.0
19.69,21.37,24.28,436.13,0.0,0.0
19.68,20.94,24.31,436.85,0.0,0.0
19.67,20.64,24.22,437.28,0.0,0.0
19.66,20.5,24.1,437.35,0.0,0.0
19.65,20.53,24.01,437.16,0.0,0.0
19.64,20.72,23.93,436.69,0.0,0.0
19.63,21.03,23.83,435.99,0.0,0.0
19.62,21.43,23.67,435.09,0.0,0.0
19.61,21.94,23.39,434.06,0.0,0.0
19.6,22.48,23.05,433.18,0.0,0.0
19.59,22.92,22.73,432.72,0.0,0.0
19.6,23.14,22.58,432.68,0.0,0.0
19.61,23.07,22.64,432.9,0.0,0.0
19.62,22.78,22.9,433.34,0.0,0.0
19.63,22.33,23.26,433.99,0.0,0.0
19.64,21.83,23.63,434.86,0.0,0.0
19.65,21.36,23.9,435.77,0.0,0.0
19.66,20.97,24.04,436.51,0.0,0.0
19.65,20.75,24.04,436.86,0.0,0.0
19.65,20.76,23.98,436.72,0.0,0.0
19.64,21.05,23.86,436.03,0.0,0.0
19.62,21.68,23.58,434.67,0.0,0.0
19.61,22.56,23.06,433.2,0.0,0.0
19.61,23.48,22.39,432.57,0.0,0.0
19.63,24.37,21.59,433.22,0.0,0.0
19.73,25.32,20.76,435.62,0.0,0.0
19.97,26.28,20.38,440.76,0.0,0.0
20.36,27.1,20.98,448.0,0.0,0.0
20.65,27.6,22.42,453.15,0.0,0.0
20.65,27.56,22.78,451.71,0.0,0.0
20.38,26.7,21.77,445.63,0.0,0.0
20.03,24.96,21.72,440.82,0.0,0.0
19.84,23.22,23.07,438.21,0.0,0.0
19.78,22.06,24.33,437.15,0.0,0.0
19.74,21.3,24.75,437.2,0.0,0.0
19.71,20.79,24.65,437.57,0.0,0.0
19.69,20.51,24.38,437.68,0.0,0.0
19.67,20.45,24.15,437.45,0.0,0.0
19.65,20.68,23.99,436.81,0.0,0.0
19.63,21.3,23.75,435.42,0.0,0.0
19.61,22.35,23.19,433.46,0.0,0.0
19.61,23.58,22.32,432.66,0.0,0.0
19.68,24.81,21.21,434.44,0.0,0.0
19.94,26.02,20.48,440.21,0.0,0.0
20.47,27.09,21.24,450.85,0.0,0.0
20.99,27.94,25.74,466.26,0.0,0.01
21.41,28.4,37.58,490.85,0.0,0.01
21.73,28.49,58.1,527.72,0.0,0.01
21.98,28.34,85.52,574.33,0.0,0.01
22.15,28.1,115.76,624.59,0.0,0.02
22.27,27.85,142.86,670.76,0.0,0.02
22.34,27.61,162.16,709.16,0.0,0.02
22.38,27.38,177.67,749.63,0.0,0.03
22.41,27.14,199.43,811.04,0.0,0.05
22.4,26.85,224.51,891.91,0.0,0.12
22.38,26.53,240.57,945.22,0.0,0.41
20.14,24.21,62.93,463.49,0.0,0.01
20.2,23.56,25.19,449.59,0.0,0.0
20.81,23.97,25.39,471.25,0.0,0.0
21.5,24.44,34.86,539.46,0.0,0.01
22.0,24.27,72.39,695.67,0.0,0.03
22.19,23.98,130.45,858.57,0.0,0.09
22.22,23.65,178.17,938.82,0.0,0.29
22.22,23.63,240.71,953.98,0.0,0.76
22.08,24.04,325.73,927.46,0.0,0.95
21.9,24.65,379.63,907.37,0.0,0.98
21.89,25.14,406.8,928.45,0.0,0.99
21.97,25.33,421.89,956.11,0.0,0.99
22.04,25.29,428.81,971.25,0.0,0.99
22.08,25.15,429.96,973.76,0.0,0.99
22.08,24.96,426.58,967.22,0.0,0.99
22.06,24.77,422.07,956.74,0.0,0.99
22.03,24.61,418.02,944.98,0.0,0.99
21.99,24.43,413.72,931.09,0.0,0.99
21.93,24.21,408.52,912.4,0.0,0.99
21.87,23.96,402.41,887.68,0.0,0.99
21.78,23.69,395.76,856.24,0.0,0.98
21.67,23.37,387.91,814.81,0.0,0.98
21.52,23.05,378.11,764.83,0.0,0.98
21.36,22.79,365.33,714.32,0.0,0.97
21.18,22.62,348.06,668.41,0.0,0.96
20.96,22.43,322.67,620.45,0.0,0.94
20.67,22.16,279.46,563.89,0.0,0.89
20.33,21.89,204.53,510.91,0.0,0.68
20.17,21.48,111.88,480.72,0.0,0.18
20.48,20.91,46.51,475.76,0.0,0.01
20.68,21.01,32.72,470.77,0.0,0.0
20.57,21.32,31.06,457.86,0.0,0.0
20.42,21.72,29.21,450.17,0.0,0.0
20.31,22.23,27.56,445.75,0.0,0.0
20.26,22.94,25.82,443.75,0.0,0.0
20.29,23.88,23.95,444.31,0.0,0.0
20.43,24.97,22.45,447.53,0.0,0.0
20.64,26.01,22.03,452.52,0.0,0.0
20.86,26.88,23.18,458.22,0.0,0.0
21.05,27.59,26.26,465.11,0.0,0.01
21.21,28.13,31.34,474.07,0.0,0.01
21.36,28.48,38.53,486.27,0.0,0.01
21.53,28.64,48.54,503.55,0.0,0.01
21.72,28.64,62.58,528.08,0.0,0.01
21.9,28.53,81.32,560.68,0.0,0.01
22.07,28.32,104.17,600.15,0.0,0.01
22.19,28.08,127.21,640.32,0.0,0.02
22.27,27.85,143.36,671.97,0.0,0.02
22.3,27.62,145.9,687.98,0.0,0.02
22.27,27.37,132.87,687.16,0.0,0.03
22.19,27.0,110.65,678.99,0.0,0.04
22.02,26.29,90.04,682.45,0.0,0.05
21.78,25.08,76.36,703.8,0.0,0.07
21.51,23.66,66.55,709.23,0.0,0.07
21.35,22.67,59.82,693.02,0.0,0.05
21.37,22.27,58.99,696.34,0.0,0.05
21.55,22.21,68.52,747.08,0.0,0.06
21.78,22.16,94.43,839.24,0.0,0.12
21.96,22.1,141.59,912.15,0.0,0.32
22.04,22.38,221.94,934.83,0.0,0.74
21.92,23.21,326.16,915.37,0.0,0.94
21.79,24.22,391.48,906.49,0.0,0.98
21.82,24.99,425.32,941.31,0.0,0.99
21.94,25.35,443.18,977.55,0.0,0.99
22.04,25.41,449.43,996.16,0.0,0.99
22.09,25.31,449.31,1000.16,0.0,0.99
22.11,25.16,445.78,996.34,0.0,0.99
22.1,25.0,441.05,988.52,0.0,0.99
22.08,24.81,434.78,976.8,0.0,0.99
22.03,24.54,425.83,957.19,0.0,0.99
21.94,24.05,413.25,918.45,0.0,0.99
21.74,23.14,398.6,834.48,0.0,0.98
21.36,21.82,382.47,676.94,0.0,0.97
20.71,20.63,329.6,516.33,0.0,0.86
20.25,19.94,185.61,455.64,0.0,0.31
20.45,19.4,74.9,445.69,0.0,0.01
20.51,19.87,36.32,452.01,0.0,0.0
20.3,20.21,31.87,447.65,0.0,0.0
20.14,20.71,29.53,443.92,0.0,0.0
20.09,21.57,27.99,441.09,0.0,0.0
20.14,24.16,63.13,463.36,0.0,0.01
20.21,23.49,25.29,449.75,0.0,0.0
20.8,23.8,25.68,471.2,0.0,0.0
21.4,24.15,33.07,528.09,0.0,0.01
21.7,23.98,48.03,605.53,0.0,0.02
21.69,23.64,54.57,643.57,0.0,0.03
21.48,23.17,48.17,622.87,0.0,0.02
21.15,22.58,37.6,564.63,0.0,0.01
20.88,21.96,30.85,507.04,0.0,0.01
20.69,21.55,29.63,473.6,0.0,0.0
20.5,21.37,29.79,457.12,0.0,0.0
20.32,21.33,29.35,448.27,0.0,0.0
20.15,21.41,28.44,443.14,0.0,0.0
20.02,21.56,27.38,439.96,0.0,0.0
19.93,21.75,26.4,437.86,0.0,0.0
19.85,22.0,25.51,436.35,0.0,0.0
19.79,22.31,24.73,435.18,0.0,0.0
19.75,22.69,24.02,434.31,0.0,0.0
19.72,23.12,23.38,433.8,0.0,0.0
19.71,23.62,22.74,433.67,0.0,0.0
19.72,24.24,22.01,434.15,0.0,0.0
19.77,25.0,21.21,435.69,0.0,0.0
19.9,25.81,20.64,438.7,0.0,0.0
20.12,26.55,20.58,442.83,0.0,0.0
20.34,27.13,21.05,446.63,0.0,0.0
20.48,27.55,21.79,449.01,0.0,0.0
20.54,27.84,22.47,450.15,0.0,0.0
20.57,28.06,22.98,450.8,0.0,0.0
20.6,28.25,23.48,451.67,0.0,0.01
20.62,28.38,23.91,452.31,0.0,0.01
20.59,28.34,23.71,451.16,0.0,0.01
20.45,27.92,22.59,447.42,0.0,0.0
20.19,26.87,21.41,442.81,0.0,0.0
19.92,25.24,21.24,439.3,0.0,0.0
19.78,23.71,22.31,436.9,0.0,0.0
19.73,22.7,23.43,435.59,0.0,0.0
19.7,22.16,23.88,435.08,0.0,0.0
19.67,22.02,23.85,434.68,0.0,0.0
19.65,22.31,23.52,433.87,0.0,0.0
19.63,22.97,22.98,432.99,0.0,0.0
19.64,23.76,22.29,432.96,0.0,0.0
19.68,24.44,21.63,434.02,0.0,0.0
19.75,24.86,21.26,435.53,0.0,0.0
19.8,24.94,21.25,436.44,0.0,0.0
19.8,24.62,21.58,436.26,0.0,0.0
19.76,23.95,22.24,435.44,0.0,0.0
19.73,23.16,23.06,434.81,0.0,0.0
19.71,22.42,23.71,434.87,0.0,0.0
19.7,21.73,24.12,435.59,0.0,0.0
19.69,21.09,24.32,436.67,0.0,0.0
19.68,20.53,24.3,437.6,0.0,0.0
19.68,20.11,24.08,438.0,0.0,0.0
19.67,19.86,23.83,438.0,0.0,0.0
19.67,19.73,23.65,437.89,0.0,0.0
19.66,19.69,23.58,437.8,0.0,0.0
19.66,19.7,23.56,437.75,0.0,0.0
19.66,19.73,23.56,437.73,0.0,0.0
19.66,19.75,23.57,437.74,0.0,0.0
19.66,19.73,23.57,437.77,0.0,0.0
19.66,19.65,23.53,437.8,0.0,0.0
19.67,19.55,23.46,437.8,0.0,0.0
19.68,19.44,23.39,437.73,0.0,0.0
19.68,19.35,23.35,437.64,0.0,0.0
19.69,19.29,23.33,437.56,0.0,0.0
19.69,19.26,23.32,437.51,0.0,0.0
19.69,19.24,23.32,437.5,0.0,0.0
19.69,19.24,23.33,437.5,0.0,0.0
