Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption
12.1,51.07,4.92,267.51,59.45,23930.88,13731.57,12249.06
13.16,50.76,4.9,304.65,35.77,23869.38,17644.68,10689.48
12.62,51.58,4.9,260.95,28.15,22966.32,16573.43,11770.43
12.64,51.32,4.9,187.2,49.84,21567.85,13753.39,11355.48
12.13,52.12,4.9,239.3,29.58,22366.52,17715.11,14287.14
12.51,51.3,4.91,151.4,26.69,22846.04,13075.29,12790.75
11.44,52.65,4.94,92.56,14.56,23770.41,12509.15,14770.13
11.52,51.86,4.97,145.99,19.83,24998.81,16532.99,12370.94
12.42,52.89,4.9,96.51,0.06,28182.84,21526.33,19552.95
10.96,52.51,4.89,120.41,3.64,29715.12,18717.41,19209.53
11.45,53.41,4.89,96.81,1.4,28758.85,24377.42,18921.78
10.86,55.21,4.9,113.99,-7.98,31404.53,23263.06,22465.79
10.98,57.28,4.93,115.15,-7.83,29152.58,19461.15,20418.62
11.77,54.85,4.89,90.77,0.39,33615.54,18865.82,18166.67
11.7,52.0,4.89,52.61,-14.2,31391.84,20780.95,16585.52
12.01,58.03,4.9,43.07,-13.61,26181.2,20205.43,21668.4
9.81,55.6,4.91,56.39,-4.21,25528.83,20179.04,16581.33
11.76,54.31,4.9,34.47,3.95,25702.79,21040.2,20926.04
9.36,55.89,4.92,40.39,-13.58,27193.17,18869.65,15884.0
10.28,55.37,4.91,27.7,-10.41,35235.66,23266.85,19400.93
9.44,56.04,4.88,21.54,-20.02,30443.11,20397.18,23673.66
10.49,56.84,4.9,24.82,-24.4,30740.49,23798.29,23015.8
9.43,56.7,4.9,20.41,-26.18,28952.69,24241.81,21960.6
9.83,56.84,4.9,18.83,-25.15,32787.4,24461.63,23815.25
9.35,58.16,4.91,19.31,-25.74,31233.27,25375.7,24767.53
8.92,57.84,4.9,18.78,-26.66,32778.57,22924.37,24758.61
8.17,58.29,4.9,18.25,-27.42,34541.17,23376.06,26344.61
