Date,Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption
2017-01-01 00:00,6.56,73.8,0.08,0.05,0.12,34055.7,16128.88,20240.96
2017-01-01 00:10,6.41,74.5,0.08,0.07,0.08,29814.68,19375.08,20131.08
2017-01-01 00:20,6.31,74.5,0.08,0.06,0.1,29128.1,19006.69,19668.43
2017-01-01 00:30,6.12,75.0,0.08,0.09,0.1,28228.86,18361.09,18899.28
2017-01-01 00:40,5.92,75.7,0.08,0.05,0.08,27335.7,17872.34,18442.41
2017-01-01 00:50,5.85,76.9,0.08,0.06,0.11,26624.81,17416.41,18130.12
2017-01-01 01:00,5.64,77.7,0.08,0.05,0.1,25998.99,16993.31,17945.06
2017-01-01 01:10,5.5,78.2,0.08,0.06,0.09,25446.08,16661.4,17459.28
2017-01-01 01:20,5.68,78.1,0.08,0.07,0.14,24777.72,16227.36,17025.54
2017-01-01 01:30,5.49,77.3,0.08,0.06,0.11,24279.49,15939.21,16794.22
2017-01-01 01:40,5.52,77.5,0.08,0.05,0.11,23896.71,15435.87,16638.07
2017-01-01 01:50,5.47,76.7,0.08,0.06,0.13,23544.3,15213.37,16395.18
2017-01-01 02:00,5.06,78.6,0.08,0.07,0.1,23003.54,15169.6,16117.59
2017-01-01 02:10,4.97,78.8,0.08,0.07,0.13,22329.11,14710.03,15822.65
2017-01-01 02:20,4.97,78.9,0.08,0.06,0.15,22092.15,14421.88,15672.29
2017-01-01 02:30,4.9,79.1,0.08,0.07,0.1,21903.8,14104.56,15597.11
2017-01-01 02:40,5.02,79.7,0.08,0.05,0.13,21685.06,13965.96,15510.36
2017-01-01 02:50,5.41,78.5,0.08,0.06,0.16,21484.56,13612.16,15336.87
2017-01-01 03:00,5.17,77.9,0.08,0.07,0.11,21107.85,13535.56,15140.24
2017-01-01 03:10,5.08,77.7,0.08,0.05,0.13,20998.48,13371.43,15059.28
2017-01-01 03:20,5.04,77.2,0.08,0.06,0.15,20870.89,13196.35,15013.01
2017-01-01 03:30,5.03,76.9,0.08,0.05,0.18,20870.89,13167.17,14897.35
2017-01-01 03:40,4.9,76.6,0.08,0.07,0.14,20597.47,13137.99,14602.41
2017-01-01 03:50,4.8,76.2,0.08,0.06,0.13,20421.27,12908.21,14590.84
2017-01-01 04:00,4.75,75.7,0.08,0.04,0.13,20524.56,12820.67,14585.06
2017-01-01 04:10,4.9,74.4,0.08,0.07,0.12,20482.03,13032.22,14452.05
2017-01-01 04:20,5.2,74.1,0.08,0.06,0.1,20530.63,12926.44,14232.29
2017-01-01 04:30,5.39,71.9,0.08,0.07,0.1,20512.41,12948.33,14157.11
2017-01-01 04:40,5.16,74.0,0.08,0.06,0.15,20494.18,12922.8,14232.29
2017-01-01 04:50,5.18,74.2,0.08,0.04,0.14,20311.9,12879.03,14243.86
2017-01-01 05:00,4.93,72.9,0.08,0.06,0.13,20542.78,12806.08,14243.86
2017-01-01 05:10,4.72,75.8,0.08,0.05,0.15,20621.77,12853.5,14105.06
2017-01-01 05:20,5.55,74.0,0.08,0.06,0.09,20627.85,12842.55,14266.99
2017-01-01 05:30,4.66,73.5,0.08,0.04,0.1,20797.97,13137.99,14353.73
2017-01-01 05:40,4.38,76.9,0.08,0.07,0.15,20858.73,13203.65,14538.8
2017-01-01 05:50,4.21,78.3,0.08,0.12,0.08,21393.42,13575.68,14862.65
2017-01-01 06:00,4.31,77.2,0.08,0.06,0.13,22219.75,14068.09,14908.92
2017-01-01 06:10,4.74,74.3,0.08,0.04,0.16,21928.1,13852.89,14729.64
2017-01-01 06:20,4.77,75.6,0.08,0.1,0.06,21776.2,13626.75,14625.54
2017-01-01 06:30,4.92,73.7,0.08,0.1,0.1,21654.68,13582.98,14480.96
2017-01-01 06:40,4.41,76.7,0.08,0.04,0.12,21466.33,13539.21,14319.04
2017-01-01 06:50,4.29,77.0,0.08,0.03,0.19,20846.58,12908.21,14018.31
2017-01-01 07:00,4.3,76.0,0.08,0.05,0.15,19983.8,12342.86,13492.05
2017-01-01 07:10,4.51,74.6,0.08,0.06,0.13,18908.35,11897.87,12630.36
2017-01-01 07:20,4.49,74.3,0.08,0.08,0.12,18167.09,11551.37,11600.96
2017-01-01 07:30,4.36,72.3,0.08,0.07,0.12,18075.95,11263.22,10640.96
2017-01-01 07:40,4.48,72.2,0.08,0.07,0.09,18063.8,10719.76,10455.9
2017-01-01 07:50,4.58,71.0,0.08,0.07,0.1,18045.57,10924.01,10496.39
2017-01-01 08:00,4.79,72.0,0.08,0.19,0.14,18385.82,10949.54,10710.36
2017-01-01 08:10,4.81,73.1,0.08,0.96,0.95,18987.34,11347.11,10837.59
2017-01-01 08:20,4.76,73.5,0.08,3.19,3.13,19576.71,11733.74,10941.69
2017-01-01 08:30,4.51,74.5,0.08,6.64,6.49,19837.97,11945.29,11178.8
2017-01-01 08:40,4.35,74.8,0.08,12.64,10.13,20166.08,12029.18,11514.22
2017-01-01 08:50,4.72,73.7,0.08,58.97,17.0,20676.46,12426.75,11959.52
2017-01-01 09:00,4.7,71.8,0.08,82.5,20.15,21296.2,12871.73,12283.37
2017-01-01 09:10,4.62,74.1,0.08,106.9,22.55,22043.54,13203.65,12427.95
2017-01-01 09:20,4.63,74.8,0.08,132.1,24.3,22651.14,13542.86,12826.99
2017-01-01 09:30,4.6,74.0,0.08,156.1,26.9,23131.14,14046.2,13121.93
2017-01-01 09:40,4.52,74.7,0.08,182.4,28.19,23641.52,14392.71,13648.19
2017-01-01 09:50,4.58,74.5,0.08,208.8,29.2,24668.35,14830.4,13850.6
2017-01-01 10:00,5.12,73.7,0.08,234.8,29.23,25275.95,15238.91,14162.89
2017-01-01 10:10,5.84,71.3,2.66,257.9,31.01,25920.0,15837.08,14428.92
2017-01-01 10:20,6.0,69.85,4.93,282.7,31.96,26393.92,16059.57,14671.81
2017-01-01 10:30,6.22,68.81,4.92,307.0,32.42,26861.77,16322.19,15036.14
2017-01-01 10:40,6.7,68.01,4.92,327.6,33.22,27511.9,16774.47,15267.47
2017-01-01 10:50,6.99,66.14,4.92,349.6,33.41,28149.87,17164.74,15244.34
2017-01-01 11:00,7.54,64.21,4.92,371.1,33.43,28714.94,17507.6,15591.33
2017-01-01 11:10,8.22,61.9,4.92,388.2,33.89,29043.04,17478.42,15816.87
2017-01-01 11:20,9.49,59.3,2.45,401.3,34.4,29261.77,17792.1,15932.53
2017-01-01 11:30,10.65,56.03,0.08,419.5,35.29,29474.43,17748.33,16053.98
2017-01-01 11:40,11.06,53.52,0.08,430.9,37.58,29523.04,17963.53,16256.39
2017-01-01 11:50,12.4,53.26,0.08,437.5,43.46,29711.39,18142.25,16354.7
2017-01-01 12:00,13.08,54.36,0.08,450.4,43.2,29644.56,18131.31,16562.89
2017-01-01 12:10,14.38,54.42,0.08,470.5,37.92,29802.53,18102.13,16522.41
2017-01-01 12:20,15.02,56.46,0.07,480.0,38.81,29887.59,18156.84,16649.64
2017-01-01 12:30,15.55,58.7,0.08,486.1,39.46,30039.49,18335.56,16869.4
2017-01-01 12:40,15.56,59.23,0.08,490.2,40.92,29966.58,18204.26,17094.94
2017-01-01 12:50,15.49,59.3,0.08,495.9,40.9,29996.96,18196.96,17418.8
2017-01-01 13:00,15.57,58.06,0.08,498.1,40.94,30258.23,18466.87,17413.01
2017-01-01 13:10,15.65,58.7,0.08,498.1,42.75,30404.05,18350.15,17436.14
2017-01-01 13:20,15.73,59.33,0.08,498.8,44.65,30094.18,18331.91,17332.05
2017-01-01 13:30,15.68,58.6,0.08,497.0,44.26,30161.01,18419.45,17465.06
2017-01-01 13:40,15.7,55.29,0.07,489.2,39.32,30318.99,18310.03,17164.34
2017-01-01 13:50,15.75,52.45,0.08,482.4,38.65,30154.94,18390.27,16979.28
2017-01-01 14:00,15.83,54.99,0.08,476.1,39.49,29984.81,18353.8,17054.46
2017-01-01 14:10,15.79,56.66,0.08,467.7,39.94,30021.27,18142.25,17048.67
2017-01-01 14:20,15.72,55.86,0.08,456.1,39.95,30021.27,18113.07,16950.36
2017-01-01 14:30,15.8,54.06,0.08,449.2,41.52,29911.9,18036.47,16823.13
2017-01-01 14:40,15.74,55.56,0.08,437.4,44.13,29747.85,17996.35,16684.34
