Date,Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption
2017-01-01 01:50,18.86,86.5,0.06,0.07,166.7,21807.46,10675.99,10872.29
2017-01-01 02:10,18.77,86.2,0.09,0.14,24.3,21776.2,10530.09,10785.54
2017-01-01 02:30,18.72,86.3,0.09,0.06,0.12,21757.97,10519.15,10761.65
2017-01-01 02:50,18.66,86.5,0.09,254.6,24.69,21751.9,10362.31,10703.76
2017-01-01 03:10,18.78,86.3,0.09,259.9,202.6,21740.34,10227.36,10629.4
2017-01-01 03:30,18.83,86.3,0.09,0.12,25.24,21745.82,10139.82,10616.92
2017-01-01 03:50,18.74,86.2,0.09,0.06,25.38,21745.82,10081.46,10617.83
2017-01-01 04:10,18.73,86.4,0.09,0.06,0.12,21733.67,9505.17,10524.3
2017-01-01 04:30,18.67,86.5,0.09,0.12,41.53,21733.67,9457.75,10519.52
2017-01-01 05:10,18.69,86.4,0.09,279.9,25.59,21715.44,9490.58,10496.39
2017-01-01 05:40,18.69,86.2,0.09,0.06,0.12,21727.59,9603.65,10560.0
2017-01-01 06:00,18.63,86.3,0.09,0.05,39.46,21751.9,10468.09,10762.41
2017-01-01 06:20,18.59,86.4,0.09,0.11,39.65,21757.97,10475.38,10692.18
2017-01-01 06:40,18.63,86.2,0.09,5.19,39.91,21836.96,10617.63,10554.22
2017-01-01 07:00,18.62,85.9,0.09,0.11,25.83,21885.57,10595.74,10489.57
2017-01-01 07:40,18.56,86.0,0.09,6.66,0.14,21861.27,10694.22,10467.47
2017-01-01 08:00,18.5,86.1,0.09,6.7,26.29,21801.36,10657.75,10321.69
2017-01-01 08:20,18.39,86.2,0.09,548.7,575.4,22146.84,10719.76,10265.06
2017-01-01 08:40,18.12,86.1,0.09,553.4,589.5,24054.68,10719.76,10286.95
2017-01-01 09:00,18.15,86.1,0.09,558.9,601.0,29760.0,10818.24,10373.79
2017-01-01 09:40,18.58,85.8,0.09,571.5,609.4,37245.57,10869.3,10438.55
2017-01-01 10:20,18.68,85.5,0.09,581.9,615.9,43370.13,11007.9,10455.9
2017-01-01 11:00,18.84,85.3,0.09,584.6,621.8,43913.9,11438.3,10490.6
2017-01-01 12:00,18.85,85.2,0.09,594.4,629.2,44056.71,11897.87,10640.96
2017-01-01 13:40,18.97,85.1,0.09,596.0,632.6,44129.62,12273.56,10704.58
