Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption
12.67,63.24,0.22,37.52,28.65,32988.7,19416.16,18449.09
13.28,62.06,0.08,27.05,15.36,32481.44,18737.01,18256.6
15.02,62.0,0.07,36.46,24.14,32975.62,20032.82,19015.3
15.22,66.05,0.07,32.33,25.77,33721.78,21228.18,19637.27
13.76,72.22,0.07,18.74,19.65,33240.58,21528.45,19229.64
10.3,74.61,0.07,8.43,15.35,29576.42,20120.88,16476.14
6.48,67.31,0.16,8.12,15.41,23409.79,15888.05,12691.87
6.37,59.36,0.88,23.51,21.35,19360.35,13385.53,11292.34
8.29,59.65,3.18,39.32,31.65,19543.69,12739.06,11107.28
10.39,64.72,4.52,40.95,45.56,20727.18,12837.86,11209.24
10.81,67.86,4.74,37.1,53.36,21012.22,13176.47,11336.74
10.72,69.23,4.8,33.74,54.05,20912.42,13360.5,11434.32
10.64,69.77,4.82,30.41,51.14,20730.21,13373.56,11507.65
10.63,69.84,4.84,27.89,48.38,20515.01,13303.84,11552.55
10.69,69.58,4.84,26.54,47.0,20293.0,13206.31,11575.59
10.78,69.16,4.85,25.86,46.26,20099.09,13106.52,11594.43
10.89,68.78,4.85,25.05,45.11,19948.09,13009.79,11619.35
11.0,68.39,4.86,24.58,44.54,19802.43,12925.34,11635.29
11.13,67.97,4.86,24.65,44.89,19647.46,12855.0,11636.92
11.3,67.44,4.86,25.77,46.86,19481.34,12810.12,11621.5
11.54,66.97,4.86,27.42,48.97,19375.64,12795.94,11615.74
11.82,66.99,4.85,27.66,48.08,19401.54,12799.85,11643.22
12.32,67.45,4.83,27.55,44.9,19689.23,12872.07,11723.7
13.86,69.53,4.63,22.79,29.0,21642.82,13205.18,12253.13
13.97,67.32,0.75,11.13,7.41,25038.37,14858.83,14430.81
11.57,70.48,0.1,6.15,5.06,29096.61,17429.93,19623.68
12.64,76.31,0.07,4.52,6.23,33384.74,21138.05,22420.42
12.93,79.56,0.07,5.01,7.01,35436.73,23069.88,22794.33
13.56,80.05,0.07,6.83,7.69,36872.58,23820.42,23002.81
14.61,78.7,0.07,10.24,8.89,37986.48,24115.88,23466.21
15.82,75.03,0.07,18.36,12.11,38628.18,24074.03,23878.14
16.97,67.74,0.07,43.72,22.53,38700.04,23705.15,23844.76
17.73,58.95,0.07,126.26,62.93,38383.15,23476.14,22991.02
18.13,52.2,0.07,282.19,175.78,37865.23,23638.16,21589.18
18.31,47.77,0.07,417.76,308.03,37222.5,23698.32,20331.79
18.37,45.81,0.07,486.35,367.15,36498.98,23556.12,19204.27
18.31,47.52,0.07,482.62,314.74,35749.9,23236.16,18284.95
17.83,56.03,0.07,367.26,151.35,34917.75,22530.9,18128.06
15.72,71.29,0.07,129.78,40.46,34053.03,21733.83,18646.89
11.27,79.17,0.07,31.51,18.61,30685.66,21179.05,16181.52
5.75,73.08,0.15,20.3,22.17,23016.32,17320.82,11984.19
5.34,64.38,1.44,57.59,30.75,19140.23,14037.59,10904.22
7.64,64.91,4.06,86.31,44.5,20626.62,13415.82,10931.6
9.29,68.8,4.68,79.77,58.61,22532.54,13862.91,11196.83
