temp,rain_1h,snow_1h,clouds_all,traffic_volume
283.3,0.0,0.0,70.5,3787.1
283.13,0.0,0.0,75.15,2587.75
281.54,0.0,0.0,80.0,2457.87
283.13,0.0,0.0,76.92,2127.89
283.36,0.0,0.0,81.79,2061.7
283.16,0.0,0.0,70.93,1758.96
282.73,0.0,0.0,74.97,1756.13
283.55,0.0,0.0,82.32,2029.55
283.29,0.0,0.0,85.24,2082.62
282.99,0.0,0.0,77.83,1872.06
283.02,0.0,0.0,82.82,4007.26
283.28,0.0,0.0,69.23,3469.58
283.73,0.0,0.0,89.56,2252.69
283.7,0.0,0.0,89.81,1491.86
283.44,0.0,0.0,89.76,1217.64
283.66,0.0,0.0,89.68,2174.46
283.74,0.0,0.0,90.01,1566.77
283.77,0.0,0.0,89.75,744.41
283.71,0.0,0.0,89.78,1242.92
283.78,0.0,0.0,89.95,1179.03
283.77,0.0,0.0,90.0,701.5
283.69,0.0,0.0,89.77,1427.37
283.7,0.0,0.0,89.69,2170.11
283.72,0.0,0.0,89.2,2417.26
283.75,0.0,0.0,88.72,7194.68
283.8,0.0,0.0,89.34,6601.13
283.74,0.0,0.0,89.38,6871.62
283.85,0.0,0.0,89.28,7412.89
283.86,0.0,0.0,89.88,7323.64
283.86,0.0,0.0,89.36,7287.44
283.86,0.0,0.0,89.28,6927.96
283.87,0.0,0.0,88.94,5041.5
283.86,0.0,0.0,88.77,3681.56
283.85,0.0,0.0,87.42,1279.12
283.79,0.0,0.0,88.05,1465.68
283.71,0.0,0.0,83.8,1298.65
283.43,0.0,0.0,69.91,2356.44
283.21,0.0,0.0,68.04,510.36
281.92,0.0,0.0,76.7,588.05
282.62,0.0,0.0,68.31,1392.59
282.18,0.0,0.0,69.76,1743.1
281.88,0.0,0.0,63.8,2019.93
280.99,0.0,0.0,60.39,1641.72
282.41,0.0,0.0,58.53,2590.04
280.14,0.0,0.0,53.76,3568.62
281.36,0.0,0.0,31.32,4587.83
279.35,0.0,0.0,49.11,6864.53
278.8,0.0,0.0,46.24,6825.95
256.38,0.0,0.0,22.71,5277.38
256.79,0.0,0.01,20.08,5466.58
257.89,0.0,0.0,21.34,5469.07
257.59,0.0,0.0,33.14,6037.64
258.3,0.0,0.0,32.53,5546.41
258.42,0.0,0.0,21.61,6206.33
258.43,0.0,0.0,28.94,6011.98
256.98,0.0,0.0,17.44,6306.54
259.66,0.0,0.0,25.81,5597.94
258.05,0.0,0.0,31.71,6516.45
257.62,0.0,0.0,54.66,3869.53
258.58,0.0,0.0,35.47,4433.4
258.41,0.0,0.0,60.08,255.53
258.96,0.0,0.0,66.6,326.62
257.34,0.0,0.0,68.55,130.14
258.15,0.0,0.0,85.43,286.77
257.95,0.0,0.0,86.18,150.32
257.94,0.0,0.0,74.28,294.12
256.85,0.0,0.0,83.32,501.11
256.64,0.0,0.0,81.42,1853.8
258.03,0.0,0.0,81.63,4088.45
258.45,0.0,0.0,89.12,6810.63
262.18,0.0,0.0,95.65,6179.84
264.9,0.0,0.0,88.12,6902.28
265.63,0.0,0.0,97.96,3435.62
267.91,0.0,0.0,98.05,5082.11
266.3,0.0,0.0,97.99,5120.7
268.63,0.0,0.0,98.48,5672.37
269.01,0.0,0.0,99.17,5505.13
269.11,0.0,0.01,98.98,4189.49
269.2,0.0,0.0,99.22,5202.8
269.04,0.0,0.0,99.14,3908.54
269.29,0.0,0.0,99.07,3466.73
269.13,0.0,0.0,99.25,3923.34
269.37,0.0,0.0,99.19,2478.4
269.33,0.0,0.0,98.78,2931.62
267.46,0.0,0.0,97.6,655.35
268.02,0.0,0.0,97.63,560.14
266.44,0.0,0.0,97.17,936.78
267.62,0.0,0.0,97.62,1359.22
267.47,0.0,0.0,98.73,2115.21
268.2,0.0,0.0,97.9,1603.39
267.36,0.0,0.0,97.91,1283.34
267.66,0.0,0.0,97.62,2921.73
268.0,0.0,0.0,97.48,4267.38
268.27,0.0,0.0,98.21,5958.77
268.29,0.0,0.0,98.16,6472.58
268.94,0.0,0.0,97.73,6805.74
271.86,0.0,0.0,78.44,6240.08
275.37,0.0,0.0,84.59,6539.87
275.31,0.0,0.0,78.56,5961.76
277.02,0.0,0.0,81.62,6065.57
276.62,0.0,0.0,90.43,6677.36
276.54,0.0,0.0,86.07,6282.91
277.9,0.0,0.0,74.39,5598.3
277.96,0.0,0.0,81.58,4592.26
275.63,0.0,0.0,76.21,4972.37
276.6,0.0,0.0,86.98,4444.7
276.52,0.0,0.0,74.18,3660.39
276.87,0.0,0.0,81.25,1959.53
278.67,0.0,0.0,90.05,4417.71
279.88,0.0,0.0,93.63,4306.41
279.88,0.0,0.0,93.92,3214.85
280.27,0.0,0.0,93.58,2692.75
279.47,0.0,0.0,95.29,3679.91
279.67,0.0,0.0,94.85,2200.29
279.6,0.0,0.0,92.0,1660.52
280.51,0.0,0.0,93.5,1920.79
279.38,0.0,0.0,92.17,3036.0
279.71,0.0,0.0,93.83,2967.54
279.8,0.0,0.0,92.6,3133.65
280.02,0.0,0.0,90.59,2431.47
274.41,0.0,0.0,77.3,1659.53
275.78,0.0,0.0,82.19,1988.27
277.36,0.0,0.0,72.4,1336.37
275.6,0.0,0.0,63.75,947.34
