temp,rain_1h,snow_1h,clouds_all,weather_main,Date,traffic_volume
288.28,0.0,0.0,40,Clouds,2012-10-02 09:00,5545
289.36,0.0,0.0,75,Clouds,2012-10-02 10:00,4516
289.58,0.0,0.0,90,Clouds,2012-10-02 11:00,4767
290.13,0.0,0.0,90,Clouds,2012-10-02 12:00,5026
291.14,0.0,0.0,75,Clouds,2012-10-02 13:00,4918
291.72,0.0,0.0,1,Clear,2012-10-02 14:00,5181
293.17,0.0,0.0,1,Clear,2012-10-02 15:00,5584
293.86,0.0,0.0,1,Clear,2012-10-02 16:00,6015
294.14,0.0,0.0,20,Clouds,2012-10-02 17:00,5791
293.1,0.0,0.0,20,Clouds,2012-10-02 18:00,4770
290.97,0.0,0.0,20,Clouds,2012-10-02 19:00,3539
289.38,0.0,0.0,1,Clear,2012-10-02 20:00,2784
288.61,0.0,0.0,1,Clear,2012-10-02 21:00,2361
287.16,0.0,0.0,1,Clear,2012-10-02 22:00,1529
285.45,0.0,0.0,1,Clear,2012-10-02 23:00,963
284.63,0.0,0.0,1,Clear,2012-10-03 00:00,506
283.47,0.0,0.0,1,Clear,2012-10-03 01:00,321
281.18,0.0,0.0,1,Clear,2012-10-03 02:00,273
281.09,0.0,0.0,1,Clear,2012-10-03 03:00,367
279.53,0.0,0.0,1,Clear,2012-10-03 04:00,814
278.62,0.0,0.0,1,Clear,2012-10-03 05:00,2718
278.23,0.0,0.0,1,Clear,2012-10-03 06:00,5673
278.12,0.0,0.0,1,Clear,2012-10-03 08:00,6511
282.48,0.0,0.0,1,Clear,2012-10-03 09:00,5471
291.97,0.0,0.0,1,Clear,2012-10-03 12:00,5097
293.23,0.0,0.0,1,Clear,2012-10-03 13:00,4887
294.31,0.0,0.0,1,Clear,2012-10-03 14:00,5337
295.17,0.0,0.0,1,Clear,2012-10-03 15:00,5692
295.13,0.0,0.0,1,Clear,2012-10-03 16:00,6137
293.66,0.0,0.0,20,Clouds,2012-10-03 18:00,4623
290.65,0.0,0.0,20,Clouds,2012-10-03 19:00,3591
288.19,0.0,0.0,20,Clouds,2012-10-03 20:00,2898
287.1,0.0,0.0,1,Clear,2012-10-03 21:00,2637
286.25,0.0,0.0,1,Clear,2012-10-03 22:00,1777
285.26,0.0,0.0,1,Clear,2012-10-03 23:00,1015
284.55,0.0,0.0,1,Clear,2012-10-04 00:00,598
283.47,0.0,0.0,1,Clear,2012-10-04 01:00,369
283.17,0.0,0.0,1,Clear,2012-10-04 02:00,312
282.04,0.0,0.0,1,Clear,2012-10-04 03:00,367
281.69,0.0,0.0,1,Clear,2012-10-04 04:00,835
281.32,0.0,0.0,1,Clear,2012-10-04 05:00,2726
280.74,0.0,0.0,1,Clear,2012-10-04 06:00,5689
280.57,0.0,0.0,1,Clear,2012-10-04 07:00,6990
281.86,0.0,0.0,1,Clear,2012-10-04 08:00,5985
284.98,0.0,0.0,1,Clear,2012-10-04 09:00,5309
289.18,0.0,0.0,1,Clear,2012-10-04 10:00,4603
291.55,0.0,0.0,1,Clear,2012-10-04 11:00,4884
294.97,0.0,0.0,1,Clear,2012-10-04 12:00,5104
296.38,0.0,0.0,1,Clear,2012-10-04 13:00,5178
297.32,0.0,0.0,1,Clear,2012-10-04 14:00,5501
298.17,0.0,0.0,1,Clear,2012-10-04 15:00,5713
298.06,0.0,0.0,20,Clouds,2012-10-04 16:00,6292
297.67,0.0,0.0,20,Clouds,2012-10-04 17:00,6057
296.36,0.0,0.0,40,Clouds,2012-10-04 18:00,4907
293.85,0.0,0.0,40,Clouds,2012-10-04 19:00,3503
292.43,0.0,0.0,40,Clouds,2012-10-04 20:00,3037
291.77,0.0,0.0,75,Clouds,2012-10-04 21:00,2822
291.36,0.0,0.0,75,Clouds,2012-10-04 22:00,1992
291.12,0.0,0.0,75,Clouds,2012-10-04 23:00,1166
290.63,0.0,0.0,75,Clouds,2012-10-05 00:00,627
290.46,0.0,0.0,40,Clouds,2012-10-05 01:00,388
289.26,0.0,0.0,0,Clear,2012-10-05 03:00,368
283.21,0.0,0.0,75,Clouds,2012-10-05 05:00,2489
282.24,0.0,0.0,90,Clouds,2012-10-05 06:00,5537
281.69,0.0,0.0,90,Clouds,2012-10-05 07:00,6628
280.57,0.0,0.0,90,Clouds,2012-10-05 08:00,5534
280.02,0.0,0.0,75,Clouds,2012-10-05 09:00,5403
280.11,0.0,0.0,75,Clouds,2012-10-05 10:00,4770
280.0,0.0,0.0,90,Clouds,2012-10-05 11:00,5217
280.53,0.0,0.0,90,Clouds,2012-10-05 12:00,5870
281.43,0.0,0.0,75,Clouds,2012-10-05 13:00,5967
281.78,0.0,0.0,90,Clouds,2012-10-05 14:00,6108
281.91,0.0,0.0,90,Clouds,2012-10-05 15:00,6128
281.73,0.0,0.0,90,Clouds,2012-10-05 16:00,6069
281.42,0.0,0.0,90,Clouds,2012-10-05 17:00,6169
280.87,0.0,0.0,90,Clouds,2012-10-05 18:00,5384
280.15,0.0,0.0,90,Clouds,2012-10-05 19:00,4063
279.78,0.0,0.0,90,Clouds,2012-10-05 20:00,3364
279.65,0.0,0.0,75,Clouds,2012-10-05 21:00,2971
279.22,0.0,0.0,40,Clouds,2012-10-05 22:00,2450
279.06,0.0,0.0,40,Clouds,2012-10-05 23:00,1832
278.81,0.0,0.0,90,Clouds,2012-10-06 00:00,1231
278.55,0.0,0.0,90,Clouds,2012-10-06 01:00,718
278.59,0.0,0.0,90,Clouds,2012-10-06 02:00,545
276.99,0.0,0.0,75,Clouds,2012-10-06 04:00,411
276.35,0.0,0.0,20,Clouds,2012-10-06 05:00,688
275.4,0.0,0.0,1,Clear,2012-10-06 06:00,1352
275.17,0.0,0.0,1,Clear,2012-10-06 07:00,2072
274.99,0.0,0.0,1,Clear,2012-10-06 08:00,3342
275.09,0.0,0.0,40,Clouds,2012-10-06 09:00,4258
276.88,0.0,0.0,20,Clouds,2012-10-06 10:00,4861
278.04,0.0,0.0,20,Clouds,2012-10-06 11:00,5191
279.08,0.0,0.0,40,Clouds,2012-10-06 12:00,5669
280.12,0.0,0.0,75,Clouds,2012-10-06 13:00,5074
280.25,0.0,0.0,75,Clouds,2012-10-06 14:00,5025
280.0,0.0,0.0,75,Clouds,2012-10-06 15:00,5153
279.06,0.0,0.0,90,Clouds,2012-10-06 16:00,5024
278.91,0.0,0.0,90,Clouds,2012-10-06 17:00,4779
278.39,0.0,0.0,90,Clouds,2012-10-06 18:00,4362
278.16,0.0,0.0,90,Clouds,2012-10-06 19:00,3860
278.16,0.0,0.0,90,Clouds,2012-10-06 20:00,3160
277.93,0.0,0.0,90,Clouds,2012-10-06 21:00,2992
276.9,0.0,0.0,90,Clouds,2012-10-06 22:00,3202
276.34,0.0,0.0,75,Clouds,2012-10-06 23:00,1941
276.11,0.0,0.0,75,Clouds,2012-10-07 00:00,1233
275.73,0.0,0.0,90,Clouds,2012-10-07 03:00,323
275.65,0.0,0.0,90,Clouds,2012-10-07 04:00,312
275.51,0.0,0.0,75,Clouds,2012-10-07 05:00,627
275.05,0.0,0.0,90,Clouds,2012-10-07 06:00,1508
274.77,0.0,0.0,90,Clouds,2012-10-07 07:00,1539
274.77,0.0,0.0,75,Clouds,2012-10-07 08:00,2232
275.55,0.0,0.0,75,Clouds,2012-10-07 09:00,4568
276.24,0.0,0.0,75,Clouds,2012-10-07 10:00,4624
277.01,0.0,0.0,90,Clouds,2012-10-07 11:00,4529
277.43,0.0,0.0,90,Clouds,2012-10-07 12:00,5139
278.45,0.0,0.0,90,Clouds,2012-10-07 13:00,6640
279.27,0.0,0.0,90,Clouds,2012-10-07 14:00,6589
279.27,0.0,0.0,90,Clouds,2012-10-07 15:00,4429
279.44,0.0,0.0,90,Clouds,2012-10-07 16:00,4329
279.32,0.0,0.0,90,Clouds,2012-10-07 17:00,3833
279.27,0.0,0.0,90,Clouds,2012-10-07 18:00,4015
278.11,0.0,0.0,90,Clouds,2012-10-07 19:00,3382
276.79,0.0,0.0,75,Clouds,2012-10-07 20:00,2815
275.73,0.0,0.0,90,Clouds,2012-10-07 21:00,2110
274.88,0.0,0.0,75,Clouds,2012-10-07 22:00,1555
273.92,0.0,0.0,20,Clouds,2012-10-07 23:00,959
273.08,0.0,0.0,20,Clouds,2012-10-08 00:00,455
272.62,0.0,0.0,20,Clouds,2012-10-08 01:00,336
271.78,0.0,0.0,1,Clear,2012-10-08 02:00,265
271.05,0.0,0.0,1,Clear,2012-10-08 03:00,314
270.63,0.0,0.0,1,Clear,2012-10-08 04:00,779
270.33,0.0,0.0,1,Clear,2012-10-08 05:00,2571
269.61,0.0,0.0,20,Clouds,2012-10-08 06:00,5563
270.01,0.0,0.0,20,Clouds,2012-10-08 07:00,6676
271.23,0.0,0.0,20,Clouds,2012-10-08 08:00,5966
273.71,0.0,0.0,20,Clouds,2012-10-08 09:00,4832
276.77,0.0,0.0,20,Clouds,2012-10-08 10:00,4395
279.47,0.0,0.0,20,Clouds,2012-10-08 11:00,4411
279.84,0.0,0.0,1,Clear,2012-10-08 12:00,4648
282.34,0.0,0.0,40,Clouds,2012-10-08 13:00,4602
282.94,0.0,0.0,40,Clouds,2012-10-08 14:00,5125
283.48,0.0,0.0,1,Clear,2012-10-08 15:00,5502
284.33,0.0,0.0,1,Clear,2012-10-08 16:00,5979
284.48,0.0,0.0,40,Clouds,2012-10-08 17:00,5663
284.23,0.0,0.0,40,Clouds,2012-10-08 18:00,4259
281.99,0.0,0.0,20,Clouds,2012-10-08 19:00,3069
279.81,0.0,0.0,1,Clear,2012-10-08 20:00,2378
279.35,0.0,0.0,1,Clear,2012-10-08 21:00,2030
278.9,0.0,0.0,1,Clear,2012-10-08 22:00,1400
278.46,0.0,0.0,1,Clear,2012-10-08 23:00,917
277.78,0.0,0.0,1,Clear,2012-10-09 00:00,515
277.27,0.0,0.0,1,Clear,2012-10-09 01:00,302
277.47,0.0,0.0,1,Clear,2012-10-09 02:00,251
276.97,0.0,0.0,20,Clouds,2012-10-09 04:00,798
276.52,0.0,0.0,40,Clouds,2012-10-09 05:00,2678
276.6,0.0,0.0,40,Clouds,2012-10-09 06:00,5733
277.31,0.0,0.0,75,Clouds,2012-10-09 07:00,6449
278.38,0.0,0.0,90,Clouds,2012-10-09 08:00,5765
279.35,0.0,0.0,90,Clouds,2012-10-09 09:00,5599
281.37,0.0,0.0,90,Clouds,2012-10-09 10:00,4534
283.11,0.0,0.0,90,Clouds,2012-10-09 11:00,4691
284.08,0.0,0.0,75,Clouds,2012-10-09 12:00,5067
285.14,0.0,0.0,75,Clouds,2012-10-09 13:00,5030
286.35,0.0,0.0,90,Clouds,2012-10-09 14:00,5300
287.23,0.0,0.0,100,Rain,2012-10-09 15:00,5777
288.53,0.0,0.0,90,Clouds,2012-10-09 16:00,6349
290.37,0.0,0.0,90,Clouds,2012-10-09 17:00,6127
290.13,0.0,0.0,90,Clouds,2012-10-09 18:00,4460
288.86,0.0,0.0,75,Clouds,2012-10-09 19:00,3418
287.36,0.0,0.0,90,Clouds,2012-10-09 20:00,2775
285.11,0.0,0.0,90,Clouds,2012-10-09 21:00,2306
283.46,0.0,0.0,90,Clouds,2012-10-09 22:00,1846
282.45,0.0,0.0,90,Clouds,2012-10-09 23:00,947
281.88,0.0,0.0,90,Clouds,2012-10-10 00:00,494
281.78,0.0,0.0,90,Clouds,2012-10-10 01:00,332
281.09,0.0,0.0,75,Clouds,2012-10-10 02:00,261
281.17,0.0,0.0,90,Clouds,2012-10-10 03:00,361
281.25,0.0,0.0,92,Clear,2012-10-10 06:00,5875
281.25,0.0,0.0,99,Drizzle,2012-10-10 07:00,6793
281.25,0.0,0.0,99,Rain,2012-10-10 07:00,6793
280.1,0.0,0.0,99,Rain,2012-10-10 08:00,6283
280.1,0.0,0.0,99,Drizzle,2012-10-10 08:00,6283
279.61,0.0,0.0,99,Rain,2012-10-10 09:00,5680
279.61,0.0,0.0,99,Drizzle,2012-10-10 09:00,5680
279.67,0.0,0.0,99,Clear,2012-10-10 10:00,4632
280.19,0.0,0.0,1,Clear,2012-10-10 11:00,4887
282.09,0.0,0.0,75,Clouds,2012-10-10 12:00,5030
282.26,0.0,0.0,75,Clouds,2012-10-10 13:00,5067
282.05,0.0,0.0,90,Clouds,2012-10-10 14:00,5227
281.59,0.0,0.0,90,Clouds,2012-10-10 15:00,5610
281.23,0.0,0.0,81,Clear,2012-10-10 16:00,6286
282.6,0.0,0.0,81,Clear,2012-10-10 18:00,4775
282.6,0.0,0.0,81,Clear,2012-10-10 19:00,3340
282.6,0.0,0.0,81,Clear,2012-10-10 20:00,3013
282.6,0.0,0.0,81,Clear,2012-10-10 21:00,2603
282.6,0.0,0.0,81,Clear,2012-10-10 22:00,1910
282.6,0.0,0.0,81,Clear,2012-10-10 23:00,1037
273.9,0.0,0.0,1,Clear,2012-10-11 01:00,347
274.4,0.0,0.0,75,Clouds,2012-10-11 03:00,350
274.05,0.0,0.0,75,Clouds,2012-10-11 04:00,850
273.71,0.0,0.0,40,Clouds,2012-10-11 05:00,2791
272.66,0.0,0.0,1,Clear,2012-10-11 06:00,5809
272.65,0.0,0.0,1,Clear,2012-10-11 07:00,6798
272.52,0.0,0.0,1,Clear,2012-10-11 08:00,6304
275.19,0.0,0.0,20,Clouds,2012-10-11 09:00,5291
275.34,0.0,0.0,1,Clear,2012-10-11 10:00,4638
284.1,0.0,0.0,50,Clear,2012-10-11 14:00,5557
284.1,0.0,0.0,50,Clear,2012-10-11 15:00,5818
283.78,0.0,0.0,75,Clouds,2012-10-11 16:00,6272
283.52,0.0,0.0,75,Clouds,2012-10-11 17:00,5944
283.32,0.0,0.0,90,Clouds,2012-10-11 18:00,4949
282.06,0.0,0.0,90,Clouds,2012-10-11 19:00,3511
281.95,0.0,0.0,90,Clouds,2012-10-11 20:00,3039
281.81,0.0,0.0,90,Clouds,2012-10-11 21:00,2679
282.16,0.0,0.0,90,Clouds,2012-10-11 22:00,2094
282.53,0.0,0.0,90,Clouds,2012-10-11 23:00,1284
283.91,0.0,0.0,90,Clouds,2012-10-12 00:00,630
284.64,0.0,0.0,90,Clouds,2012-10-12 01:00,410
284.61,0.0,0.0,90,Clouds,2012-10-12 02:00,331
283.18,0.0,0.0,72,Drizzle,2012-10-12 03:00,372
282.26,0.0,0.0,72,Rain,2012-10-12 04:00,739
280.77,0.0,0.0,72,Drizzle,2012-10-12 05:00,2561
278.53,0.0,0.0,75,Clouds,2012-10-12 06:00,5586
277.64,0.0,0.0,75,Clouds,2012-10-12 07:00,6992
277.9,0.0,0.0,90,Clouds,2012-10-12 08:00,5860
278.18,0.0,0.0,90,Clouds,2012-10-12 09:00,5230
279.29,0.0,0.0,75,Clouds,2012-10-12 10:00,4864
280.45,0.0,0.0,75,Clouds,2012-10-12 11:00,5146
280.95,0.0,0.0,40,Clouds,2012-10-12 12:00,5526
281.74,0.0,0.0,40,Clouds,2012-10-12 13:00,5383
281.84,0.0,0.0,75,Clouds,2012-10-12 14:00,5758
282.45,0.0,0.0,75,Clouds,2012-10-12 15:00,5889
282.2,0.0,0.0,75,Clouds,2012-10-12 16:00,6057
281.54,0.0,0.0,40,Clouds,2012-10-12 17:00,6028
280.21,0.0,0.0,20,Clouds,2012-10-12 18:00,5257
282.2,0.0,0.0,56,Clear,2012-10-12 23:00,1897
272.58,0.0,0.0,1,Clear,2012-10-13 00:00,1335
272.06,0.0,0.0,1,Clear,2012-10-13 01:00,769
270.99,0.0,0.0,1,Clear,2012-10-13 02:00,570
270.29,0.0,0.0,20,Clouds,2012-10-13 03:00,413
269.48,0.0,0.0,1,Clear,2012-10-13 04:00,399
269.27,0.0,0.0,1,Clear,2012-10-13 05:00,740
268.91,0.0,0.0,1,Clear,2012-10-13 06:00,1420
268.98,0.0,0.0,75,Clouds,2012-10-13 07:00,2220
269.23,0.0,0.0,40,Clouds,2012-10-13 08:00,3479
272.61,0.0,0.0,40,Clouds,2012-10-13 09:00,4546
276.78,0.0,0.0,20,Clouds,2012-10-13 10:00,4579
279.22,0.0,0.0,1,Clear,2012-10-13 11:00,4438
280.35,0.0,0.0,1,Clear,2012-10-13 12:00,4623
281.81,0.0,0.0,1,Clear,2012-10-13 13:00,4440
283.05,0.0,0.0,1,Clear,2012-10-13 14:00,4495
283.96,0.0,0.0,1,Clear,2012-10-13 15:00,4483
284.53,0.0,0.0,1,Clear,2012-10-13 16:00,4591
284.44,0.0,0.0,1,Clear,2012-10-13 17:00,4477
283.64,0.0,0.0,1,Clear,2012-10-13 18:00,4221
281.85,0.0,0.0,20,Clouds,2012-10-13 19:00,3672
281.38,0.0,0.0,1,Clear,2012-10-13 20:00,3015
281.84,0.0,0.0,75,Clouds,2012-10-13 21:00,2769
282.23,0.0,0.0,90,Clouds,2012-10-13 22:00,2875
282.18,0.0,0.0,90,Clouds,2012-10-13 23:00,1931
282.49,0.0,0.0,90,Clouds,2012-10-14 00:00,1309
282.54,0.0,0.0,90,Clouds,2012-10-14 01:00,870
282.58,0.0,0.0,90,Clouds,2012-10-14 02:00,654
282.23,0.0,0.0,90,Clouds,2012-10-14 03:00,364
282.08,0.0,0.0,90,Clouds,2012-10-14 04:00,262
282.23,0.0,0.0,90,Clouds,2012-10-14 05:00,505
282.24,0.0,0.0,90,Clouds,2012-10-14 06:00,861
282.24,0.0,0.0,90,Clouds,2012-10-14 07:00,1132
282.24,0.0,0.0,57,Mist,2012-10-14 08:00,1797
282.43,0.0,0.0,57,Drizzle,2012-10-14 09:00,2685
282.43,0.0,0.0,57,Mist,2012-10-14 09:00,2685
282.43,0.0,0.0,57,Haze,2012-10-14 09:00,2685
282.33,0.0,0.0,57,Mist,2012-10-14 10:00,3370
282.33,0.0,0.0,57,Drizzle,2012-10-14 10:00,3370
282.82,0.0,0.0,57,Drizzle,2012-10-14 11:00,3662
282.82,0.0,0.0,57,Mist,2012-10-14 11:00,3662
283.33,0.0,0.0,57,Mist,2012-10-14 12:00,4076
283.33,0.0,0.0,57,Rain,2012-10-14 12:00,4076
283.33,0.0,0.0,57,Drizzle,2012-10-14 12:00,4076
