temp,rain_1h,snow_1h,clouds_all,traffic_volume
272.24,0.02,0.01,87.52,3115.12
271.34,0.0,0.0,74.66,2150.72
270.92,0.0,0.0,46.03,2544.74
269.44,0.01,0.0,12.52,2113.46
266.98,0.01,0.01,4.23,1102.48
265.38,0.02,0.02,3.45,647.88
264.56,0.02,0.02,3.63,549.81
264.14,0.02,0.02,3.78,558.05
263.8,0.02,0.02,3.67,572.55
263.46,0.02,0.02,3.55,576.68
263.2,0.02,0.02,3.49,578.56
263.09,0.02,0.02,3.53,593.9
263.15,0.02,0.02,3.64,629.38
263.72,0.01,0.01,4.36,781.75
265.77,0.0,0.0,18.2,1935.08
266.63,0.0,0.0,83.7,2012.9
268.41,0.01,0.01,89.43,4851.58
269.74,0.02,0.02,90.37,6177.47
271.68,0.02,0.02,90.61,6354.29
272.3,0.02,0.02,90.28,6210.28
270.83,0.01,0.01,87.54,5220.88
268.34,0.0,0.0,82.08,2988.03
267.75,0.0,0.0,76.58,1871.81
267.32,0.0,0.0,56.37,1932.01
267.68,0.0,0.0,16.96,1873.02
266.13,0.01,0.01,4.46,1036.39
264.85,0.02,0.02,3.65,643.42
264.51,0.01,0.02,4.22,607.83
264.74,0.01,0.01,4.8,721.96
264.7,0.01,0.01,4.33,777.38
264.23,0.01,0.02,3.84,735.7
263.69,0.02,0.02,3.57,668.27
263.35,0.02,0.02,3.54,633.55
263.25,0.02,0.02,3.64,639.16
263.45,0.01,0.02,3.92,699.63
264.3,0.01,0.01,5.17,970.03
265.98,0.0,0.0,18.11,2165.79
266.19,0.0,0.0,64.9,2100.25
268.52,0.0,0.0,78.44,2200.04
268.82,0.0,0.0,77.72,2552.23
269.15,0.0,0.0,80.92,2685.89
269.39,0.0,0.0,84.46,3207.52
269.36,0.01,0.0,87.12,4609.13
269.93,0.01,0.01,88.83,5633.54
270.93,0.01,0.01,89.22,5841.85
270.86,0.01,0.01,88.18,5431.42
268.89,0.01,0.0,83.36,3535.74
267.93,0.0,0.0,74.83,2309.79
271.98,0.01,0.0,74.03,2090.7
271.14,0.0,0.0,53.41,2476.05
271.24,0.0,0.0,47.69,2622.8
270.23,0.0,0.0,20.78,2633.55
268.7,0.01,0.0,8.91,2138.29
267.65,0.01,0.01,7.01,1758.9
267.53,0.01,0.0,8.19,1826.81
267.91,0.0,0.0,12.19,2353.09
268.44,0.0,0.0,31.83,2853.44
269.18,0.0,0.0,60.18,2449.6
270.39,0.0,0.0,78.3,2065.06
271.03,0.0,0.0,84.37,2448.75
270.06,0.0,0.0,77.59,2722.71
269.74,0.0,0.0,61.12,2876.2
269.65,0.0,0.0,58.85,2429.54
270.03,0.0,0.0,76.44,1699.11
270.86,0.0,0.0,81.62,1699.37
271.93,0.0,0.0,86.15,2348.34
271.25,0.0,0.0,85.98,2946.21
270.99,0.0,0.0,85.4,3222.59
270.81,0.0,0.0,84.84,3145.44
270.75,0.0,0.0,84.25,2879.45
271.29,0.0,0.0,85.43,2942.07
271.55,0.01,0.0,86.49,3387.51
271.2,0.01,0.0,85.68,3344.87
270.43,0.0,0.0,80.01,2685.55
269.8,0.0,0.0,47.64,3054.58
268.93,0.01,0.0,12.37,2468.45
266.5,0.02,0.02,3.68,1120.59
265.22,0.02,0.02,3.3,614.44
264.64,0.02,0.02,3.67,536.58
264.31,0.02,0.02,3.83,558.01
264.04,0.02,0.02,3.81,590.34
263.82,0.02,0.02,3.77,618.23
263.86,0.01,0.02,4.0,682.13
264.49,0.01,0.01,5.0,907.16
266.11,0.0,0.0,15.29,2011.31
265.96,0.0,0.0,77.29,1662.97
269.28,0.01,0.0,87.06,3219.3
268.66,0.01,0.0,87.6,4858.71
268.91,0.01,0.01,86.44,5006.64
269.36,0.01,0.01,87.05,5129.85
269.87,0.01,0.01,87.97,5353.88
270.96,0.01,0.01,89.91,5916.7
272.38,0.02,0.02,90.94,6218.39
273.59,0.02,0.03,91.54,6343.48
274.46,0.03,0.03,91.86,6382.6
275.08,0.03,0.03,92.11,6393.68
271.78,0.01,0.0,58.04,2176.8
269.96,0.01,0.0,17.51,2802.51
267.93,0.01,0.01,5.81,2055.83
266.89,0.01,0.01,6.51,1632.9
267.56,0.01,0.0,11.37,2035.92
268.3,0.0,0.0,21.39,2801.21
269.03,0.0,0.0,29.29,3274.01
269.46,0.0,0.0,35.6,3305.18
269.58,0.0,0.0,47.51,2929.52
269.76,0.0,0.0,69.38,2153.37
270.59,0.0,0.0,79.97,1954.57
270.95,0.0,0.0,82.93,2203.36
270.8,0.0,0.0,83.08,2448.97
270.42,0.0,0.0,80.54,2453.19
270.19,0.0,0.0,75.72,2311.75
270.02,0.0,0.0,68.89,2185.28
270.39,0.0,0.0,75.44,1751.27
272.3,0.0,0.0,86.76,2368.68
271.59,0.01,0.0,89.69,4565.47
272.39,0.02,0.01,90.99,5948.52
274.06,0.02,0.02,91.57,6278.19
274.99,0.02,0.03,91.77,6318.44
275.15,0.02,0.02,91.6,6208.47
274.33,0.02,0.01,90.51,5756.14
273.27,0.01,0.01,89.42,5112.25
272.64,0.01,0.01,88.56,4477.77
272.49,0.01,0.0,88.06,4001.81
272.85,0.01,0.0,88.69,4170.82
273.06,0.01,0.01,88.92,4414.26
273.14,0.01,0.0,88.63,4380.18
273.53,0.01,0.01,89.53,4787.31
273.27,0.01,0.0,88.29,4341.65
272.06,0.0,0.0,84.82,2799.95
271.25,0.0,0.0,74.32,2016.74
270.92,0.0,0.0,58.62,1861.57
270.91,0.0,0.0,50.39,1795.66
270.96,0.0,0.0,62.7,1549.89
271.89,0.0,0.0,78.41,1248.45
273.45,0.0,0.0,85.07,1392.84
273.93,0.0,0.0,86.47,1875.47
273.82,0.0,0.0,87.03,2475.04
273.19,0.0,0.0,86.14,2723.5
272.9,0.0,0.0,85.27,2641.79
272.73,0.0,0.0,84.14,2379.7
272.69,0.0,0.0,82.5,2092.91
272.19,0.0,0.0,72.74,2058.2
271.81,0.0,0.0,52.12,2265.23
271.63,0.0,0.0,54.32,2026.24
271.71,0.01,0.0,54.35,2237.06
269.88,0.01,0.0,16.42,2811.71
267.31,0.01,0.01,4.19,1690.64
265.3,0.02,0.02,3.36,867.07
264.79,0.02,0.02,3.7,672.16
264.49,0.02,0.02,3.73,645.67
264.34,0.01,0.02,3.9,685.36
264.3,0.01,0.02,3.93,741.5
264.2,0.01,0.02,3.82,776.35
264.0,0.02,0.02,3.64,771.48
263.89,0.01,0.02,3.68,779.68
263.94,0.01,0.02,3.79,815.49
264.85,0.01,0.01,5.53,1181.98
266.38,0.0,0.0,21.47,2444.3
266.68,0.0,0.0,73.2,2041.32
269.38,0.01,0.0,86.33,3555.03
268.94,0.01,0.01,89.29,5623.3
270.84,0.02,0.02,90.43,6271.67
272.44,0.02,0.03,90.92,6389.87
273.0,0.02,0.02,90.75,6274.65
272.65,0.02,0.02,90.1,5960.36
270.66,0.01,0.0,86.65,4523.64
269.21,0.0,0.0,83.74,2711.58
268.96,0.0,0.0,80.35,1763.18
270.94,0.0,0.0,85.22,1581.27
272.55,0.01,0.0,89.64,3257.18
272.16,0.01,0.01,91.27,5560.13
273.96,0.02,0.02,91.82,6225.03
275.31,0.03,0.03,92.08,6350.51
275.94,0.03,0.03,92.23,6357.8
276.13,0.02,0.03,92.21,6300.26
274.41,0.01,0.01,89.63,5366.78
270.85,0.0,0.0,81.84,2618.59
269.27,0.0,0.0,57.71,2127.82
269.29,0.0,0.0,21.6,1812.22
268.02,0.01,0.01,6.64,1080.55
266.97,0.01,0.01,4.92,737.37
266.84,0.01,0.01,6.32,815.36
267.78,0.0,0.0,16.17,1583.25
267.81,0.0,0.0,60.44,1759.15
270.45,0.0,0.0,82.37,1749.65
270.97,0.0,0.0,82.85,2177.25
270.43,0.0,0.0,74.78,2535.79
269.74,0.0,0.0,33.34,3279.0
267.44,0.01,0.01,5.27,2062.88
265.03,0.02,0.02,2.94,881.05
264.62,0.02,0.02,3.64,639.19
265.87,0.01,0.01,7.05,1030.29
272.53,0.02,0.01,89.75,3792.42
272.26,0.01,0.0,86.78,2973.83
272.64,0.0,0.0,83.02,2331.86
272.68,0.0,0.0,81.63,1882.36
273.29,0.0,0.0,84.37,1688.88
273.95,0.0,0.0,87.19,2018.96
273.86,0.0,0.0,87.98,2727.06
273.12,0.0,0.0,86.48,2890.44
272.38,0.0,0.0,82.18,2456.51
271.67,0.0,0.0,63.36,2509.89
270.79,0.01,0.0,22.17,2532.61
269.16,0.01,0.0,9.96,2011.94
269.08,0.0,0.0,22.38,2194.94
269.53,0.0,0.0,53.79,2085.53
271.27,0.0,0.0,80.81,1679.23
272.03,0.0,0.0,83.69,1963.91
271.47,0.0,0.0,76.21,2350.09
270.89,0.0,0.0,52.72,2805.2
270.28,0.0,0.0,24.66,2894.08
268.91,0.01,0.0,9.84,2372.87
268.09,0.01,0.0,8.63,2050.62
268.54,0.0,0.0,18.26,2472.76
268.67,0.0,0.0,59.4,2071.04
271.71,0.0,0.0,85.71,2606.59
271.05,0.01,0.0,88.97,4553.33
271.68,0.01,0.01,90.04,5731.65
272.88,0.02,0.02,90.5,6013.28
273.81,0.02,0.02,91.23,6180.76
274.35,0.02,0.02,91.35,6175.97
274.07,0.02,0.02,90.69,5892.39
273.58,0.01,0.01,90.31,5599.83
272.71,0.01,0.01,88.83,4872.3
270.93,0.0,0.0,84.85,2943.59
269.81,0.0,0.0,74.58,1922.17
269.3,0.0,0.0,43.77,2013.48
268.97,0.01,0.0,12.61,1595.97
268.05,0.01,0.01,7.39,1200.6
267.91,0.01,0.01,8.36,1246.36
268.29,0.0,0.0,12.8,1755.51
268.47,0.01,0.0,10.87,2164.8
267.61,0.01,0.01,5.92,1837.54
266.2,0.01,0.01,3.83,1183.76
265.31,0.01,0.02,3.71,850.35
265.62,0.01,0.01,5.24,979.11
267.09,0.0,0.0,19.65,2054.24
267.38,0.0,0.0,80.24,1696.05
270.07,0.01,0.0,88.39,3745.15
269.83,0.01,0.01,89.59,5605.62
272.02,0.01,0.0,80.2,2259.23
271.37,0.0,0.0,71.69,1886.34
272.31,0.0,0.0,75.15,1718.96
272.7,0.0,0.0,82.21,1501.51
272.8,0.0,0.0,82.85,1591.07
272.69,0.0,0.0,81.39,1714.04
272.39,0.0,0.0,78.42,1757.57
271.42,0.0,0.0,54.93,2330.34
270.75,0.0,0.0,22.14,2530.34
268.89,0.01,0.01,7.45,1905.33
266.93,0.01,0.01,3.74,1057.68
265.57,0.02,0.02,3.38,680.79
264.73,0.02,0.02,3.45,577.05
264.15,0.02,0.02,3.5,560.43
263.78,0.02,0.02,3.55,573.56
263.55,0.02,0.02,3.55,593.87
263.41,0.02,0.02,3.55,614.75
263.32,0.02,0.02,3.54,633.46
263.29,0.02,0.02,3.56,654.57
263.39,0.02,0.02,3.69,695.06
263.65,0.01,0.02,3.9,769.99
263.98,0.01,0.01,4.1,874.01
265.07,0.01,0.01,6.54,1395.62
266.3,0.0,0.0,26.73,2589.99
267.01,0.0,0.0,67.51,2308.54
268.34,0.0,0.0,69.08,2506.0
268.22,0.0,0.0,35.71,3415.7
267.36,0.01,0.0,11.65,3286.18
266.0,0.01,0.01,6.84,2617.74
265.37,0.01,0.01,5.16,1975.83
265.27,0.01,0.01,4.94,1625.98
265.97,0.01,0.0,7.7,1942.84
266.85,0.0,0.0,32.15,2638.21
267.86,0.0,0.0,67.31,2271.41
269.52,0.0,0.0,80.31,2273.95
269.55,0.0,0.0,82.07,2601.63
268.81,0.0,0.0,66.84,3087.78
268.63,0.0,0.0,35.21,3443.05
267.99,0.0,0.0,18.99,3250.95
267.47,0.0,0.0,14.33,2979.06
267.42,0.0,0.0,38.79,2621.41
268.51,0.0,0.0,74.53,1861.82
270.81,0.0,0.0,86.0,2636.36
270.13,0.01,0.0,87.12,3933.71
270.25,0.01,0.01,87.95,5023.98
270.82,0.01,0.01,88.43,5408.97
270.15,0.01,0.0,85.85,4455.44
268.83,0.0,0.0,80.78,2864.15
271.64,0.01,0.0,52.24,2263.33
269.72,0.01,0.0,14.71,2733.9
267.59,0.01,0.01,5.31,1928.79
267.53,0.0,0.0,13.09,2084.75
267.66,0.0,0.0,80.94,1365.92
271.3,0.01,0.0,90.05,3721.04
271.26,0.01,0.01,91.08,5842.17
273.04,0.02,0.02,91.11,6209.97
273.25,0.02,0.01,90.07,5910.11
272.75,0.01,0.01,89.63,5570.79
271.89,0.01,0.01,88.16,4833.78
270.75,0.01,0.0,85.68,3400.48
270.43,0.0,0.0,84.13,2272.73
271.3,0.0,0.0,84.93,1835.52
272.28,0.0,0.0,86.47,1915.13
